Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
sample_27.trimmed.R2.v1	sample_27.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95179945.0	0.0	50-157	51.0	23.83941524897823	154.23105492443813	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_28.trimmed.R1.v1	sample_28.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82132052.0	0.0	50-157	52.0	19.5070376173775	153.969119997148	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_28.trimmed.R2.v1	sample_28.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82132052.0	0.0	50-157	51.0	23.716528870861854	153.9218858187057	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_29.trimmed.R1.v1	sample_29.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86752132.0	0.0	50-157	51.0	18.991071472141094	154.00099957197594	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_29.trimmed.R2.v1	sample_29.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86752132.0	0.0	50-157	50.0	23.61214494566918	153.94344069837962	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_3.trimmed.R1.v1	sample_3.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93429748.0	0.0	50-157	52.0	19.45584431982698	152.71257857829178	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_3.trimmed.R2.v1	sample_3.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93429748.0	0.0	50-157	51.0	23.733408552274042	152.66916497516402	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_30.trimmed.R1.v1	sample_30.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87874849.0	0.0	50-157	52.0	16.75786840329214	153.66163491216923	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_30.trimmed.R2.v1	sample_30.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87874849.0	0.0	50-157	50.0	20.402879702024997	153.60596848365566	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_31.trimmed.R1.v1	sample_31.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93670165.0	0.0	50-157	52.0	19.10732203263656	153.62979969128912	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_31.trimmed.R2.v1	sample_31.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93670165.0	0.0	50-157	52.0	23.351496123494268	153.57767501530503	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_32.trimmed.R1.v1	sample_32.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95057180.0	0.0	50-157	51.0	19.78864105040295	154.00278396645052	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_32.trimmed.R2.v1	sample_32.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95057180.0	0.0	50-157	50.0	23.42078870554668	153.9413408960796	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_33.trimmed.R1.v1	sample_33.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94977388.0	0.0	50-157	51.0	17.103952024399977	154.32832638016956	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_33.trimmed.R2.v1	sample_33.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94977388.0	0.0	50-157	50.0	21.07489681635618	154.27809994100912	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
