GWK47_028075	KAG0730526.1	InterPro:IPR017986
GWK47_028075	KAG0730526.1	InterPro:IPR019775
GWK47_028075	KAG0730526.1	InterPro:IPR036322
GWK47_028077	KAG0730527.1	InterPro:IPR038717
GWK47_028077	KAG0730527.1	PFAM:PF13358
GWK47_028094	KAG0730517.1	CDD:cd13996
GWK47_028094	KAG0730517.1	GO:0004672
GWK47_028094	KAG0730517.1	GO:0005524
GWK47_028094	KAG0730517.1	GO:0006468
GWK47_028094	KAG0730517.1	InterPro:IPR017441
GWK47_028094	KAG0730517.1	PFAM:PF00069
GWK47_028100	KAG0730512.1	GO:0016020
GWK47_028100	KAG0730512.1	GO:0022857
GWK47_028100	KAG0730512.1	GO:0055085
GWK47_028103	KAG0730508.1	GO:0005515
GWK47_028103	KAG0730508.1	InterPro:IPR011989
GWK47_028103	KAG0730508.1	InterPro:IPR016024
GWK47_028103	KAG0730508.1	InterPro:IPR032675
GWK47_028104	KAG0730509.1	CDD:cd15529
GWK47_028104	KAG0730509.1	InterPro:IPR001965
GWK47_028104	KAG0730509.1	InterPro:IPR011011
GWK47_028104	KAG0730509.1	InterPro:IPR013083
GWK47_028104	KAG0730509.1	InterPro:IPR019787
GWK47_028104	KAG0730509.1	PFAM:PF00628
GWK47_028105	KAG0730510.1	CDD:cd00204
GWK47_028105	KAG0730510.1	GO:0005515
GWK47_028105	KAG0730510.1	InterPro:IPR020683
GWK47_028105	KAG0730510.1	InterPro:IPR021832
GWK47_028105	KAG0730510.1	InterPro:IPR036770
GWK47_028105	KAG0730510.1	PFAM:PF11904
GWK47_028113	KAG0730505.1	GO:0005515
GWK47_028113	KAG0730505.1	InterPro:IPR032503
GWK47_028113	KAG0730505.1	InterPro:IPR036188
GWK47_028113	KAG0730505.1	PFAM:PF01571
GWK47_028113	KAG0730505.1	PFAM:PF16350
GWK47_028113	KAG0730503.1	GO:0016491
GWK47_028113	KAG0730503.1	GO:0055114
GWK47_028113	KAG0730503.1	PFAM:PF01266
GWK47_028113	KAG0730504.1	GO:0016491
GWK47_028113	KAG0730504.1	GO:0055114
GWK47_028113	KAG0730504.1	PFAM:PF01266
GWK47_028117	KAG0730501.1	CDD:cd02394
GWK47_028148	KAG0730493.1	InterPro:IPR000477
GWK47_028148	KAG0730493.1	PFAM:PF00078
GWK47_028149	KAG0730494.1	InterPro:IPR029063
GWK47_028149	KAG0730495.1	InterPro:IPR029063
GWK47_028150	KAG0730496.1	CDD:cd02440
GWK47_028150	KAG0730496.1	InterPro:IPR029063
GWK47_028150	KAG0730496.1	InterPro:IPR041698
GWK47_028150	KAG0730496.1	PFAM:PF13649
GWK47_028155	KAG0730498.1	GO:0030246
GWK47_028156	KAG0730499.1	GO:0007165
GWK47_028156	KAG0730499.1	PFAM:PF02185
GWK47_028168	KAG0730487.1	GO:0016491
GWK47_028168	KAG0730487.1	GO:0016620
GWK47_028168	KAG0730487.1	GO:0055114
GWK47_028168	KAG0730487.1	InterPro:IPR016162
GWK47_028168	KAG0730487.1	InterPro:IPR016163
GWK47_028168	KAG0730487.1	InterPro:IPR029510
GWK47_028168	KAG0730487.1	PFAM:PF00171
GWK47_028169	KAG0730488.1	CDD:cd00079
GWK47_028169	KAG0730488.1	InterPro:IPR001650
GWK47_028169	KAG0730488.1	InterPro:IPR027417
GWK47_028169	KAG0730488.1	PFAM:PF00271
GWK47_028170	KAG0730489.1	CDD:cd16023
GWK47_028170	KAG0730489.1	GO:0003824
GWK47_028170	KAG0730489.1	GO:0006506
GWK47_028170	KAG0730489.1	GO:0051377
GWK47_028170	KAG0730489.1	InterPro:IPR037675
GWK47_028170	KAG0730489.1	PFAM:PF01663
GWK47_028171	KAG0730490.1	CDD:cd00063
GWK47_028171	KAG0730490.1	GO:0005515
GWK47_028171	KAG0730490.1	InterPro:IPR013783
GWK47_028171	KAG0730490.1	InterPro:IPR015915
GWK47_028171	KAG0730490.1	InterPro:IPR036116
GWK47_028171	KAG0730490.1	PFAM:PF01344
GWK47_028171	KAG0730490.1	PFAM:PF13415
GWK47_028171	KAG0730490.1	PFAM:PF13854
GWK47_028179	KAG0730479.1	GO:0005515
GWK47_028179	KAG0730479.1	GO:0005856
GWK47_028179	KAG0730479.1	InterPro:IPR038185
GWK47_028179	KAG0730479.1	PFAM:PF00784
GWK47_028182	KAG0730480.1	CDD:cd01040
GWK47_028182	KAG0730480.1	GO:0019825
GWK47_028182	KAG0730480.1	GO:0020037
GWK47_028182	KAG0730480.1	InterPro:IPR012292
GWK47_028182	KAG0730480.1	PFAM:PF00042
GWK47_028183	KAG0730482.1	InterPro:IPR000742
GWK47_028183	KAG0730482.1	InterPro:IPR013032
GWK47_028189	KAG0730484.1	GO:0042721
GWK47_028191	KAG0730486.1	GO:0003676
GWK47_028191	KAG0730486.1	PFAM:PF01918
GWK47_028193	KAG0730478.1	InterPro:IPR000477
GWK47_028193	KAG0730478.1	PFAM:PF00078
GWK47_028197	KAG0730476.1	InterPro:IPR036691
GWK47_028199	KAG0730463.1	GO:0006511
GWK47_028199	KAG0730463.1	GO:0016579
GWK47_028199	KAG0730463.1	GO:0036459
GWK47_028199	KAG0730463.1	InterPro:IPR018200
GWK47_028199	KAG0730463.1	InterPro:IPR028889
GWK47_028199	KAG0730463.1	InterPro:IPR038765
GWK47_028199	KAG0730463.1	PFAM:PF00443
GWK47_028200	KAG0730464.1	GO:0004672
GWK47_028200	KAG0730464.1	GO:0005524
GWK47_028200	KAG0730464.1	GO:0006468
GWK47_028200	KAG0730464.1	PFAM:PF00069
GWK47_028202	KAG0730466.1	GO:0004970
GWK47_028202	KAG0730466.1	GO:0016020
GWK47_028212	KAG0730470.1	GO:0004970
GWK47_028212	KAG0730470.1	GO:0016020
GWK47_028214	KAG0730471.1	GO:0003824
GWK47_028214	KAG0730471.1	PFAM:PF00501
GWK47_028216	KAG0730473.1	GO:0004970
GWK47_028216	KAG0730473.1	GO:0016020
GWK47_028220	KAG0730475.1	GO:0003676
GWK47_028220	KAG0730475.1	PFAM:PF00096
GWK47_003270	KAG0730455.1	InterPro:IPR007111
GWK47_003270	KAG0730455.1	InterPro:IPR027417
GWK47_003270	KAG0730455.1	PFAM:PF05729
GWK47_003271	KAG0730456.1	InterPro:IPR007111
GWK47_003271	KAG0730456.1	InterPro:IPR027417
GWK47_003271	KAG0730456.1	PFAM:PF05729
GWK47_028230	KAG0730454.1	GO:0055114
GWK47_028230	KAG0730454.1	InterPro:IPR013154
GWK47_028230	KAG0730454.1	InterPro:IPR036291
GWK47_028230	KAG0730454.1	PFAM:PF00107
GWK47_028230	KAG0730454.1	PFAM:PF08240
GWK47_003274	KAG0730449.1	CDD:cd09076
GWK47_003274	KAG0730449.1	InterPro:IPR036691
GWK47_028243	KAG0730447.1	InterPro:IPR012337
GWK47_028260	KAG0730444.1	CDD:cd09276
GWK47_028260	KAG0730444.1	GO:0003676
GWK47_028260	KAG0730444.1	GO:0004523
GWK47_028260	KAG0730444.1	InterPro:IPR036397
GWK47_028260	KAG0730444.1	PFAM:PF00075
GWK47_028285	KAG0730422.1	InterPro:IPR032063
GWK47_028285	KAG0730422.1	PFAM:PF16062
GWK47_028287	KAG0730423.1	InterPro:IPR032063
GWK47_028287	KAG0730423.1	PFAM:PF16062
GWK47_028289	KAG0730425.1	CDD:cd03784
GWK47_028289	KAG0730425.1	GO:0016758
GWK47_028289	KAG0730425.1	InterPro:IPR035595
GWK47_028289	KAG0730425.1	PFAM:PF00078
GWK47_028289	KAG0730425.1	PFAM:PF00201
GWK47_028290	KAG0730426.1	GO:0016758
GWK47_028291	KAG0730427.1	CDD:cd01650
GWK47_028291	KAG0730427.1	InterPro:IPR000477
GWK47_028291	KAG0730427.1	PFAM:PF00078
GWK47_028293	KAG0730428.1	CDD:cd03784
GWK47_028293	KAG0730428.1	GO:0016758
GWK47_028293	KAG0730428.1	PFAM:PF00201
GWK47_028295	KAG0730429.1	InterPro:IPR009114
GWK47_028295	KAG0730429.1	InterPro:IPR024646
GWK47_028295	KAG0730429.1	PFAM:PF12240
GWK47_028296	KAG0730430.1	GO:0006486
GWK47_028296	KAG0730430.1	GO:0008378
GWK47_028296	KAG0730430.1	GO:0016020
GWK47_028299	KAG0730433.1	InterPro:IPR005135
GWK47_028299	KAG0730433.1	InterPro:IPR036691
GWK47_028299	KAG0730433.1	PFAM:PF03372
GWK47_028302	KAG0730434.1	GO:0004970
GWK47_028302	KAG0730434.1	GO:0016020
GWK47_028306	KAG0730438.1	GO:0016020
GWK47_028306	KAG0730438.1	PFAM:PF02487
GWK47_028306	KAG0730437.1	GO:0016020
GWK47_028306	KAG0730437.1	PFAM:PF02487
GWK47_028306	KAG0730436.1	GO:0016020
GWK47_028306	KAG0730439.1	GO:0016020
GWK47_028307	KAG0730440.1	CDD:cd00161
GWK47_028307	KAG0730440.1	CDD:cd02510
GWK47_028307	KAG0730440.1	InterPro:IPR000772
GWK47_028307	KAG0730440.1	InterPro:IPR001173
GWK47_028307	KAG0730440.1	InterPro:IPR029044
GWK47_028307	KAG0730440.1	InterPro:IPR035992
GWK47_028307	KAG0730440.1	PFAM:PF00535
GWK47_028307	KAG0730440.1	PFAM:PF00652
GWK47_028322	KAG0730404.1	GO:0008237
GWK47_028322	KAG0730404.1	GO:0008270
GWK47_028322	KAG0730404.1	PFAM:PF01433
GWK47_028322	KAG0730404.1	PFAM:PF11838
GWK47_028323	KAG0730405.1	GO:0006508
GWK47_028323	KAG0730405.1	GO:0008237
GWK47_028323	KAG0730405.1	GO:0008270
GWK47_028323	KAG0730405.1	InterPro:IPR042097
GWK47_028323	KAG0730405.1	PFAM:PF01433
GWK47_028323	KAG0730405.1	PFAM:PF17900
GWK47_028328	KAG0730406.1	GO:0003676
GWK47_028328	KAG0730406.1	PFAM:PF00096
GWK47_028329	KAG0730407.1	InterPro:IPR021109
GWK47_028332	KAG0730410.1	GO:0003676
GWK47_028332	KAG0730410.1	InterPro:IPR036397
GWK47_028332	KAG0730410.1	PFAM:PF00078
GWK47_028333	KAG0730411.1	InterPro:IPR027377
GWK47_028333	KAG0730411.1	PFAM:PF13695
GWK47_028335	KAG0730412.1	GO:0016491
GWK47_028335	KAG0730412.1	GO:0055114
GWK47_028335	KAG0730412.1	PFAM:PF01266
GWK47_028335	KAG0730414.1	GO:0016491
GWK47_028335	KAG0730414.1	GO:0055114
GWK47_028335	KAG0730414.1	PFAM:PF01266
GWK47_028335	KAG0730413.1	GO:0016491
GWK47_028335	KAG0730413.1	GO:0055114
GWK47_028335	KAG0730413.1	PFAM:PF01266
GWK47_000294	KAG0730403.1	CDD:cd14349
GWK47_000294	KAG0730403.1	CDD:cd14947
GWK47_000294	KAG0730403.1	GO:0005515
GWK47_000294	KAG0730403.1	InterPro:IPR032350
GWK47_000294	KAG0730403.1	InterPro:IPR039517
GWK47_000294	KAG0730403.1	PFAM:PF14555
GWK47_000294	KAG0730403.1	PFAM:PF16158
GWK47_028339	KAG0730390.1	GO:0003676
GWK47_028339	KAG0730390.1	GO:0004523
GWK47_028339	KAG0730390.1	InterPro:IPR036397
GWK47_028339	KAG0730390.1	PFAM:PF00075
GWK47_028344	KAG0730392.1	GO:0003676
GWK47_028345	KAG0730393.1	GO:0003676
GWK47_028348	KAG0730394.1	GO:0005874
GWK47_028348	KAG0730394.1	GO:0007017
GWK47_028350	KAG0730395.1	InterPro:IPR005502
GWK47_028350	KAG0730395.1	InterPro:IPR036705
GWK47_028350	KAG0730395.1	PFAM:PF03747
GWK47_028354	KAG0730398.1	InterPro:IPR036705
GWK47_028355	KAG0730399.1	GO:0003677
GWK47_028355	KAG0730399.1	PFAM:PF03221
GWK47_028358	KAG0730400.1	InterPro:IPR027359
GWK47_028359	KAG0730401.1	GO:0005515
GWK47_028359	KAG0730401.1	InterPro:IPR036322
GWK47_028359	KAG0730401.1	PFAM:PF00400
GWK47_028363	KAG0730385.1	InterPro:IPR028108
GWK47_028363	KAG0730385.1	PFAM:PF14956
GWK47_028364	KAG0730386.1	CDD:cd00038
GWK47_028364	KAG0730386.1	InterPro:IPR000595
GWK47_028364	KAG0730386.1	InterPro:IPR014710
GWK47_028364	KAG0730386.1	InterPro:IPR018488
GWK47_028364	KAG0730386.1	InterPro:IPR018490
GWK47_028364	KAG0730386.1	PFAM:PF00027
GWK47_028367	KAG0730389.1	InterPro:IPR008547
GWK47_028367	KAG0730389.1	InterPro:IPR029058
GWK47_028367	KAG0730389.1	PFAM:PF05705
GWK47_028372	KAG0730370.1	InterPro:IPR004012
GWK47_028372	KAG0730370.1	PFAM:PF02759
GWK47_028374	KAG0730371.1	GO:0003735
GWK47_028374	KAG0730371.1	GO:0005840
GWK47_028374	KAG0730371.1	GO:0006412
GWK47_028375	KAG0730372.1	CDD:cd14316
GWK47_028375	KAG0730372.1	GO:0005515
GWK47_028375	KAG0730372.1	InterPro:IPR023340
GWK47_028377	KAG0730373.1	GO:0003735
GWK47_028377	KAG0730373.1	GO:0005840
GWK47_028377	KAG0730373.1	GO:0006412
GWK47_028377	KAG0730373.1	InterPro:IPR038657
GWK47_028377	KAG0730373.1	PFAM:PF01245
GWK47_028378	KAG0730374.1	InterPro:IPR041562
GWK47_028378	KAG0730374.1	PFAM:PF17855
GWK47_028379	KAG0730375.1	GO:0003677
GWK47_028379	KAG0730375.1	GO:0005524
GWK47_028379	KAG0730375.1	GO:0006260
GWK47_028379	KAG0730375.1	GO:0006270
GWK47_028379	KAG0730375.1	InterPro:IPR027417
GWK47_028379	KAG0730375.1	InterPro:IPR031327
GWK47_028379	KAG0730375.1	PFAM:PF00493
GWK47_028381	KAG0730376.1	GO:0006888
GWK47_028381	KAG0730376.1	PFAM:PF04628
GWK47_028382	KAG0730377.1	InterPro:IPR037151
GWK47_028383	KAG0730378.1	InterPro:IPR006578
GWK47_028383	KAG0730378.1	PFAM:PF10545
GWK47_028384	KAG0730379.1	InterPro:IPR018034
GWK47_028384	KAG0730379.1	InterPro:IPR024626
GWK47_028384	KAG0730379.1	PFAM:PF05178
GWK47_028384	KAG0730379.1	PFAM:PF12936
GWK47_028387	KAG0730380.1	CDD:cd01666
GWK47_028387	KAG0730380.1	GO:0005525
GWK47_028387	KAG0730380.1	InterPro:IPR012676
GWK47_028387	KAG0730380.1	InterPro:IPR027417
GWK47_028387	KAG0730380.1	InterPro:IPR031167
GWK47_028387	KAG0730380.1	InterPro:IPR031662
GWK47_028387	KAG0730380.1	PFAM:PF02824
GWK47_028387	KAG0730380.1	PFAM:PF16897
GWK47_028387	KAG0730381.1	GO:0005525
GWK47_028387	KAG0730381.1	InterPro:IPR006074
GWK47_028387	KAG0730381.1	InterPro:IPR027417
GWK47_028387	KAG0730381.1	InterPro:IPR031167
GWK47_028387	KAG0730381.1	PFAM:PF01926
GWK47_028387	KAG0730381.1	TIGRFAM:TIGR00231
GWK47_028388	KAG0730382.1	CDD:cd09358
GWK47_028388	KAG0730382.1	InterPro:IPR001781
GWK47_028388	KAG0730382.1	PFAM:PF00412
GWK47_028402	KAG0730363.1	CDD:cd00037
GWK47_028402	KAG0730363.1	GO:0005230
GWK47_028402	KAG0730363.1	GO:0006811
GWK47_028402	KAG0730363.1	GO:0016021
GWK47_028402	KAG0730363.1	InterPro:IPR016187
GWK47_028402	KAG0730363.1	InterPro:IPR018000
GWK47_028402	KAG0730363.1	InterPro:IPR036719
GWK47_028402	KAG0730363.1	InterPro:IPR036734
GWK47_028402	KAG0730363.1	PFAM:PF00354
GWK47_028404	KAG0730364.1	GO:0016021
GWK47_028408	KAG0730367.1	GO:0005548
GWK47_028408	KAG0730367.1	GO:0015914
GWK47_028408	KAG0730367.1	PFAM:PF02121
GWK47_028409	KAG0730368.1	GO:0005548
