pc1_pos_loadings	pc1_neg_loadings	pc2_pos_loadings	pc2_neg_loadings	short_OA_all	short_OA_up_sev	short_OA_down_sev	mod_short_all	mod_short_up	mod_short_down	sev_short_all	sev_short_up	sev_short_down	intersect_short_all	intersect_short_up	intersect_short_down	dose_short_increase	dose_short_decrease	mod_persist_all	sev_persist_all	long_all	long_up	long_down	long_up_0.5	long_down_0.5
							Q6PFJ9			D3Z9Z9	Q9CXZ1													
							Q9VT28			Q96FW1	Q9SP08													
							P08429			Q5ZLN8	Q6DH44													
							Q9VF87			Q0IHI6	Q28C65													
							Q6DJI8			Q9Z0W3	Q2YDI5													
							Q9U9L2			P0C1H7	Q9R1P1													
							Q1HG43			Q9VCA2	Q8JG30													
							Q9TTK4			P97412	Q7QC84													
							Q23356			Q5RJK8	Q5ZI57													
							Q5ZL23			P35520	Q4KM31													
							P00637			Q8NFA0	Q9Z2Q5													
							Q9VWN9			F1QB30	Q17QJ7													
							P49792			Q9NQT4	Q13177													
							A0A0B4K7J2			P80601	Q9VVT5													
							Q8BL66			Q178A5	A6QLJ3													
							O02811			Q6DFB8	P82798													
							Q9NDJ2			Q5U5C5	O43683													
							Q23551			Q8R2Y8	P52432													
							Q23551			Q6DEL2	P30430													
							F1QRX7			Q92545	Q99873													
							A2VE52			Q8WQG1	Q0KK59													
							Q5R587			Q86SX6	E2RED8													
							Q24093			F1Q4S1	Q5HZT0													
							Q24093			Q64163	Q8R035													
							Q9VW47			Q9PW70	Q6IMM1													
							Q62130			Q64560	P82650													
							P48180			Q5R587	Q810V0													
							Q8BL99			Q9JJL8	P82927													
							P20232			Q09225	Q15269													
							P20232			Q9ET77	Q8MS27													
							P14576			Q5XGW6	Q9HD33													
							K7IM66			P54131	P24861													
							P56688			P48180	Q9VJ38													
							Q5RFH0			Q9NZN5	Q24371													
							O15943			Q8BL99	Q58DV5													
							Q9W5E1			Q6DGZ3	Q29RZ2													
							Q29L50			Q8N806	P25788													
							Q8ND76			P21902	Q96BZ8													
							A2AJK6			O95208	Q8BTU7													
							Q9VT28			K7IM66	Q6B8I0													
							Q8BXR9			Q24562														
							P15531			Q9CQS5														
							C0KJQ4			P59235														
							Q63186			O96347														
							O02751			O81187														
							Q3ZBG9			O61305														
							Q86MI0			P23128														
							Q90ZK6			Q9MZL5														
							Q9VY86			Q9CQC9														
							Q8IZD9			Q99104														
							Q8BRH4			Q9DBE9														
							P52815			Q9DBE9														
							P20482			Q8NFZ3														
							Q8MUR4			Q94526														
							Q93008			Q791V5														
							Q93008			P51163														
							Q9BVG4			Q7TM95														
							Q9VW71			P46196														
							P63325			Q24119														
							Q9UKW4			P70398														
							Q9D9H8			Q93008														
							P00529			P70398														
							Q99570			Q7JWG9														
							O60268			P32023														
							Q24251			Q290A8														
							Q498T4			B7PS00														
							Q5T011			Q58CS8														
							Q5T011			Q9D9H8														
							Q7K237			A2CEI4														
							Q08BY0			Q0MQH9														
							Q32L68			Q24251														
							Q9EP86			Q8R216														
							Q60HD8			Q9DC61														
							P70031			Q8K021														
							Q80XP9			Q6DGL7														
							Q6INE3			Q6NT04														
							Q21738			Q9GKX2														
							P17248			Q9CQ69														
							Q5R4J1			P41636														
							Q9ES00			Q9V0D5														
							Q8SY33			Q9VQ36														
							E9Q9R9			Q08BY0														
							O95714			Q32PE9														
							P56380			Q3ZBU2														
							Q05856			Q9NII1														
							Q75T13			Q60HD8														
							Q18359			Q9CR63														
							Q15032			P70031														
							Q7ZUZ0			Q6INE3														
							Q6VNB8			Q5ZKB8														
							Q8IZQ1			Q90W95														
							Q8IZQ1			Q17LW0														
							Q58CQ5			Q6NV12														
							B4JG34			P22888														
							A4IH88			Q6PC91														
							Q9WVR8			Q2HJ58														
							B4IX08			Q9VHV1														
							Q09472			P49906														
							Q962T2			Q9ES00														
							Q9Y2B2			Q56P03														
							Q0E9H9			Q6GLI9														
							Q63505			P12370														
							Q7Q5R5			Q9UET6														
							Q9WVE9			D8VNS7														
							Q4KLV1			Q6GNV7														
							Q8K0U4			Q5PQL3														
							P02401			O01404														
							Q6ZWV7			P56380														
							P82987			Q13620														
							Q9V3L1			Q99426														
							Q9Y2G3			O70318														
							Q9Y2G3			Q91VA6														
							Q86BA1			Q9VGG5														
							Q16Y34			Q9CR26														
							Q9HC10			Q9GV46														
