Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
5329_38_S101_L004_R2_001	71.99583553345704	50.0	157.0	27.27272727272727	45955875.0
5329_39_S102_L004_R1_001	77.63349728014565	52.0	157.0	27.27272727272727	47515092.0
5329_39_S102_L004_R2_001	73.38101064971094	51.0	157.0	27.27272727272727	47515092.0
5329_3_S66_L004_R1_001	76.4127429787859	52.0	157.0	27.27272727272727	47374289.0
5329_3_S66_L004_R2_001	72.03047714507014	51.0	157.0	27.27272727272727	47374289.0
5329_40_S103_L004_R1_001	77.36166469669185	52.0	157.0	27.27272727272727	51240715.0
5329_40_S103_L004_R2_001	72.84599450851907	51.0	157.0	27.27272727272727	51240715.0
5329_41_S104_L004_R1_001	76.30986108145053	52.0	157.0	27.27272727272727	47528487.0
5329_41_S104_L004_R2_001	72.39127662475937	51.0	157.0	27.27272727272727	47528487.0
5329_42_S105_L004_R1_001	77.50895490698748	52.0	157.0	27.27272727272727	51676646.0
5329_42_S105_L004_R2_001	73.3030549334391	51.0	157.0	27.27272727272727	51676646.0
5329_43_S106_L004_R1_001	75.18019531669586	51.0	157.0	27.27272727272727	41033101.0
5329_43_S106_L004_R2_001	70.59610945063706	50.0	157.0	27.27272727272727	41033101.0
5329_44_S107_L004_R1_001	81.19432123893318	51.0	157.0	27.27272727272727	80585362.0
5329_44_S107_L004_R2_001	77.03048076142863	50.0	157.0	27.27272727272727	80585362.0
5329_45_S108_L004_R1_001	48.259074465377736	52.0	157.0	18.181818181818183	949564.0
5329_45_S108_L004_R2_001	43.15460808980707	51.0	157.0	18.181818181818183	949564.0
5329_46_S109_L004_R1_001	73.15222403984129	50.0	157.0	27.27272727272727	43221516.0
5329_46_S109_L004_R2_001	69.00373250796969	50.0	157.0	27.27272727272727	43221516.0
5329_47_S110_L004_R1_001	76.1546927657367	51.0	157.0	27.27272727272727	50561767.0
5329_47_S110_L004_R2_001	73.33622212212526	51.0	157.0	27.27272727272727	50561767.0
5329_48_S111_L004_R1_001	76.11509618365072	52.0	157.0	27.27272727272727	44602692.0
5329_48_S111_L004_R2_001	71.43071597546881	51.0	157.0	27.27272727272727	44602692.0
5329_49_S112_L004_R1_001	76.42785321982281	52.0	157.0	27.27272727272727	48711483.0
5329_49_S112_L004_R2_001	72.8672949596783	51.0	157.0	36.36363636363637	48711483.0
5329_4_S67_L004_R1_001	78.64025746272705	51.0	157.0	18.181818181818183	43212300.0
5329_4_S67_L004_R2_001	74.6570124584003	50.0	157.0	18.181818181818183	43212300.0
5329_50_S113_L004_R1_001	77.55478726340624	51.0	157.0	36.36363636363637	51000814.0
